<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
PEO,60,20230105,150000,93.7,94.34,93.24,93.78,210146,0
PEO,60,20230105,160000,93.66,94.98,93.54,94.84,111426,0
PEO,60,20230105,170000,94.66,95.42,94.16,94.48,296144,0
PEO,60,20230109,100000,95.84,97.34,95.3,97.3,139259,0
PEO,60,20230109,110000,97.12,98.5,97.1,97.7,190538,0
PEO,60,20230109,120000,97.7,98.3,97.64,98.08,119822,0
PEO,60,20230109,130000,98.06,98.14,97.54,97.54,31787,0
PEO,60,20230109,140000,97.54,98.14,97.52,97.88,58510,0
PEO,60,20230109,150000,97.88,97.92,97,97.18,55494,0
PEO,60,20230109,160000,97.16,97.76,96.3,97.7,124323,0
PEO,60,20230109,170000,97.64,98.56,97.64,98.46,309711,0
PEO,60,20230110,100000,98,98,96.5,97.34,89878,0
PEO,60,20230110,110000,97.34,97.5,97,97.44,71349,0
PEO,60,20230110,120000,97.44,98.82,97.4,98.22,70421,0
PEO,60,20230110,130000,98.2,98.58,97.82,98.46,38110,0
PEO,60,20230110,140000,98.46,98.62,98.04,98.5,27921,0
PEO,60,20230110,150000,98.5,98.82,98.22,98.8,44794,0
PEO,60,20230110,160000,98.86,99.72,98.3,99.2,94789,0
PEO,60,20230110,170000,99.44,100.2,99.14,99.8,392602,0
PEO,60,20230111,100000,100,100.9,99.22,100,132356,0
PEO,60,20230111,110000,99.96,100.9,99.5,100.55,154859,0
PEO,60,20230111,120000,100.5,101.3,99.5,99.64,204447,0
PEO,60,20230111,130000,99.68,100.45,99.4,100,173964,0
PEO,60,20230111,140000,100.05,100.35,99.88,100.15,176329,0
PEO,60,20230111,150000,100,100.05,99.4,99.66,102184,0
PEO,60,20230111,160000,99.64,99.8,98.78,98.78,329269,0
PEO,60,20230111,170000,98.76,99.18,98.18,98.96,288529,0
PEO,60,20230112,100000,99.08,100.5,98.52,100.15,98728,0
PEO,60,20230112,110000,100.15,101.7,100,101.3,155274,0
PEO,60,20230112,120000,101.35,102.25,100.85,101.9,236025,0
PEO,60,20230112,130000,101.95,102.45,101.9,102.15,83530,0
